periodo;plazo_desde;plazo_hasta;cf
20130313;1;12;0.5000
20130313;13;24;0.5200
20130313;25;36;0.5400
20130313;37;48;0.5500
20130313;49;60;0.5500
20130313;61;72;0.5600
20130313;73;84;0.5600
20130313;85;96;0.5700
20130313;109;120;0.5700
20130313;133;144;0.5700
20130313;169;180;0.5800
20130314;1;12;0.5000
20130314;13;24;0.5200
20130314;25;36;0.5400
20130314;37;48;0.5500
20130314;49;60;0.5500
20130314;61;72;0.5600
20130314;73;84;0.5600
20130314;85;96;0.5700
20130314;109;120;0.5700
20130314;133;144;0.5700
20130314;169;180;0.5800
20130315;1;12;0.5000
20130315;13;24;0.5200
20130315;25;36;0.5400
20130315;37;48;0.5500
20130315;49;60;0.5500
20130315;61;72;0.5600
20130315;73;84;0.5600
20130315;85;96;0.5700
20130315;109;120;0.5700
20130315;133;144;0.5700
20130315;169;180;0.5800
20130318;1;12;0.5000
20130318;13;24;0.5200
20130318;25;36;0.5400
20130318;37;48;0.5500
20130318;49;60;0.5500
20130318;61;72;0.5600
20130318;73;84;0.5600
20130318;85;96;0.5700
20130318;109;120;0.5700
20130318;133;144;0.5700
20130318;169;180;0.5800
20130319;1;12;0.5000
20130319;13;24;0.5200
20130319;25;36;0.5400
20130319;37;48;0.5500
20130319;49;60;0.5500
20130319;61;72;0.5600
20130319;73;84;0.5600
20130319;85;96;0.5700
20130319;109;120;0.5700
20130319;133;144;0.5700
20130319;169;180;0.5800
20130320;1;12;0.5000
20130320;13;24;0.5200
20130320;25;36;0.5400
20130320;37;48;0.5500
20130320;49;60;0.5500
20130320;61;72;0.5600
20130320;73;84;0.5600
20130320;85;96;0.5700
20130320;109;120;0.5700
20130320;133;144;0.5700
20130320;169;180;0.5800
20130321;1;12;0.5000
20130321;13;24;0.5200
20130321;25;36;0.5400
20130321;37;48;0.5500
20130321;49;60;0.5500
20130321;61;72;0.5600
20130321;73;84;0.5600
20130321;85;96;0.5700
20130321;109;120;0.5700
20130321;133;144;0.5700
20130321;169;180;0.5800
20130322;1;12;0.5000
20130322;13;24;0.5200
20130322;25;36;0.5400
20130322;37;48;0.5500
20130322;49;60;0.5500
20130322;61;72;0.5600
20130322;73;84;0.5600
20130322;85;96;0.5700
20130322;109;120;0.5700
20130322;133;144;0.5700
20130322;169;180;0.5800
20130325;1;12;0.5000
